Factor_1;Factor_2;Factor_3;Factor_4;Factor_5;Factor_6;Factor_7;Factor_8;Factor_9;Factor_10;Factor_11;Factor_12;Factor_13;Factor_14;Factor_15;Factor_16;Factor_17;Factor_18;Factor_19;Factor_20;Factor_21;Factor_22;Factor_23;Factor_24;Factor_25;Factor_26;Factor_27;Factor_28;Factor_29;Factor_30;Factor_31;Factor_32;Factor_33;Factor_34;Factor_35;Factor_36;Factor_37;Factor_38;Factor_39;Factor_40;Factor_41;Factor_42;Factor_43;Factor_44;Factor_45;Factor_46;Factor_47;Factor_48;Factor_49;Factor_50;Factor_51;Factor_52;Factor_53;Factor_54;Factor_55;Factor_56;Factor_57;Factor_58;Factor_59;Factor_60;Factor_61;Factor_62;Factor_63;Factor_64;Factor_65;Factor_66;Factor_67;Factor_68;Factor_69;Factor_70;Factor_71;Factor_72;Factor_73;Factor_74;Factor_75;STATUS
0.6;0.460526;1;29280;0;0;0;29180;22100;0;0;66;761;0;39;70;0;0;40;0.4;0;0;0;0;0;0;14640;761;0;35;0;263382;1000;0;1;0;0;2;35;3;22000;27;10.333333;0;52676.4;8.75;0;14;35;0;88305;0;263382;0;3;0;0.5;0;0;0;0.6;0;76131;0;52561.5;1;0.2;1;1753;0.026316;0;0;0;0;0;0
0.5;0.569767;1;36000;3;0;0;35000;36000;3;1;16;19;3;1;49;1;1;2;0.25;1;1;1;1;3;1;36000;19;1;19;1;328609;19;0;16;3;0;1;19;2;35000;19;16;0.333333;82152.25;19;0;12.25;15;0;156354;0;328609;0;1;0;0;0;0;0;0.75;0;130000;0;130000;1;0;1.25;502;0.011628;0;0;0;0;0;0
0.5;0.230216;0.6;1466660;1;2;29291.66667;839250;1323440;2;0.2;22;10;3;10;32;0.5;0.333333;83;0.3;0.2;1;0.5;0.4;1;0.6;488886.6667;63;0.333333;19;0.666667;1546087;10;0.333333;2.833333;5;0;3;10;5;839250;10;3.666667;0.166667;154608.7;6.333333;12;3.2;10;7;143220;0.166667;1370337;0;3;0;0.666667;0.12;1;0.166667;0.3;0;839250;0.1;286991.3333;2;0.2;0.5;6;0.014388;1;5;4;0;1;1
1;0.832335;1;1063216;0;0;0;691827;383508;0;0;139;449;0;139;139;0;0;167;1;0;0;0;0;0;0;212643.2;449;0;139;0;1063216;1093;0;29;0;0;5;50;5;200000;50;0;1;212643.2;27.8;0;27.8;50;0;383508;1;1063216;0;4;0;0.8;0;0;0;0;0;85000;0;138365.4;0;0;0;1954;0.299401;0;0;0;0;0;0
1;0.625;1;22308;0;0;0;18000;22308;0;0;15;915;0;11;15;0;0;13;0.5;0;0;0;0;0;0;22308;915;0;15;0;73934;0;0;0;0;0;1;11;2;18000;11;4;0;36967;7.5;0;7.5;11;0;51626;0;73934;0;2;0;1;0;0;0;0.5;0;0;0;28984;0;0;1;1218;0.166667;0;0;0;0;0;0
0.555556;0.113095;0.555556;64940;0;0;0;59311;48325;0;0;38;792;0;12;38;0;0;14;0.222222;0;0;0;0;0;0;32470;792;0;30;0;233422;1452;0;0;0;0;2;12;5;43472;12;4.333333;0;25935.77778;5;0;4.222222;12;0;108555;0;233422;0;5;0;0.666667;0;0;0;0.666667;0;69831;0;47080;0;0.222222;1;966;0.02381;0;0;0;0;0;0
0.666667;0.58046;1;945486;4;2.4;69430.6;871630;872935;6;0.5;21;5;8;14;101;0.666667;0.5;26;0.416667;0.25;0.5;0.333333;0.75;2;1;189097.2;46;0.25;42;0.75;2178856;5;0.8;13.833333;8;24296.66667;5;37;8;777000;35;12.428571;0.333333;181571.3333;10.5;12;8.416667;8;5;333247;0.166667;1831703;7400;4;0.015232;0.5;0.169492;2;0.4;0.333333;0.382769;499720;0;213587.5;1;0;0.25;26;0.005747;1;0;4;1;1;0
0.857143;0.320652;0.914286;439729;5;0.96;9246.12;474864;69448;8;0.227273;75;26;11;65;118;0.625;0.454545;82;0.828571;0.136364;0.6;0.375;0.363636;3;0.5;15163.06897;272;0.272727;60;0.727273;919207;272;0.96;6.5;22;9012.8;29;27;30;77644;13;11.75;0.333333;26263.05714;7.5;24;3.371429;13;1;254500;0.333333;688054;0;6;0.145686;0.75;0.111111;2;0.44;0.114286;0.741464;254500;0.028571;54500.875;0;0.028571;0.142857;21;0.008152;0;0;0;0;0;0
0.866667;0.698582;0.85;1229782;18;1.333333;13604.375;712530;329655;20;0.4;197;7;30;184;197;0.9;0.6;223;0.833333;0.266667;0.666667;0.6;0.444444;12;0.666667;24595.64;499;0.4;24;0.666667;1372957;7;0.854167;6.176471;45;13875.46667;50;49;52;57000;15;6.5;0.588235;22882.61667;8;64;3.283333;49;6;80867;0.588235;719947;0;9;0.322461;1;0.206897;7;0.395833;0.033333;0.557711;57000;0.1;37427.66667;3;0;0.033333;3;0.003546;0;0;0;0;0;0
0.333333;0.013158;0.333333;2500;1;0.5;1250;15450;2500;1;1;1;10;1;1;1;1;1;2;0.333333;1;1;1;1;1;1;2500;0;1;0;1;2500;10;0.5;0.5;1;1250;1;1;1;15450;0;0;0.5;833.333333;0;1;0.333333;1;1;0;0.5;0;0;0;0;0;0.25;1;1;0.333333;1;15450;0;500000;0;0.333333;0;25;0;0;0;0;0;0;1
0.6;0.846847;0.8;161690;1;1;64832.5;155150;129665;1;0.333333;47;21;1;9;94;1;1;11;0.4;0.333333;1;1;0.333333;1;0.333333;80845;252;1;9;1;1287356;21;0.5;23.5;3;0;2;47;3;125150;7;42.5;0;257471.2;4.5;2;18.8;38;2;129665;0;1157691;0;2;0;1;0.4;0;0;0.4;0;797639;0;77575;0;0;0.2;120;0.018018;0;0;0;0;0;0
1;0.883117;1;308893;4;5.666667;31050.66667;601367;197152;4;0.666667;68;21;4;68;68;1;1;77;1;0.166667;0.25;0.25;0.666667;1;0.666667;51482.16667;21;0.25;47;1;308893;21;1;9.25;6;11040;6;20;6;260000;20;0;1;51482.16667;11.75;17;11.333333;20;11;197152;1;215741;1700;2;0;0.5;0.272727;3;0;0;0;260000;0;145341.75;2;0;0;94;0.25974;0;0;0;0;0;0
1;0.078125;1;0;0;0;0;0;0;0;0;5;1871;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7530;0;0;0;0;0;0;5;1;0;0;5;0;7530;0;0;5;5;0;0;0;7530;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;2046;0.078125;0;0;0;0;0;0
1;1;1;25026;1;6;25026;5000;25026;1;1;6;5;1;6;6;1;1;6;1;1;1;1;1;1;1;25026;0;1;0;1;25026;5;1;6;1;25026;1;6;1;5000;0;0;1;25026;0;6;6;6;6;0;1;0;25026;0;0;0;0.222222;1;0;0;0;5000;0;0;1;0;0;161;0;0;0;0;0;0;0
0.333333;0.021277;0.666667;23087;1;1;760;44250;22327;1;1;3;15;1;3;5;1;1;57;0.333333;1;1;1;1;1;1;11543.5;2670;1;4;1;35065;15;1;0.666667;1;760;2;2;2;40000;2;0.666667;0.333333;5844.166667;0.8;1;0.833333;2;1;22327;0.333333;34305;760;1;0.022154;0.2;0.181818;1;1;0.5;1;40000;0;41940;0;0.5;0.5;29;0.004255;0;0;0;0;0;1
0.8;0.159468;0.8;205436;4;1;19328.66667;170302;74998;4;1;48;6;4;25;48;1;1;54;0.5;0.75;0.75;0.75;1;3;1;41087.2;3463;0.75;7;1;534563;6;1;8;4;19328.66667;5;21;8;60001;5;4.6;0.5;53456.3;1.75;3;4.8;21;1;21762;0;476577;11266;4;0.121672;0.5;0.380952;0;1;0.5;1;65000;0.1;14739.5;2;0;0.2;10;0.003322;0;0;0;0;0;0
0.882353;0.761468;0.882353;559767;9;3.25;32233.375;1242823;169998;10;0.75;166;8;10;81;166;0.9;0.9;99;0.647059;0.75;1;0.9;0.833333;9;0.833333;50887.90909;11;0.9;115;1;1172231;8;0.75;11.8;12;16829;11;38;15;753456;38;21.25;0.8;68954.76471;12.777778;26;9.764706;38;10;392124;0.5;914364;0;5;0.038419;0.555556;0.275862;4;0.375;0.235294;0.347901;753456;0.117647;170919.7778;1;0;0;5;0.004587;0;0;0;0;0;0
0.5;0.5;0.5;6000;1;0.5;3000;6000;6000;1;1;1;14;1;1;1;1;1;1;0.5;1;1;1;1;1;1;6000;0;1;0;1;6000;0;0.5;0;1;3000;1;1;1;6000;0;0;0;3000;0;1;0.5;1;1;0;0;0;0;0;0;0;0.8;0;1;0;1;7000;1;0;0;0;0;14;0.5;0;0;0;0;0;0
0.8;0.571429;0.8;10197;1;3;10197;15000;10197;1;1;20;7;1;3;20;1;1;4;0.2;1;1;1;1;1;1;10197;1584;1;17;1;38970;7;1;3;1;10197;1;9;4;15000;9;4.25;1;7794;4.25;3;4;9;3;14324;1;28773;10197;3;0;0.75;0.333333;1;0;0.8;0;15000;0;18198.5;0;0.2;0.6;95;0.057143;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;8453;0;8453;0;0;0;25;0;0;0;0;0;0;0
0.571429;0.62069;0.857143;49261;5;2.571429;57953;3522600;40173;5;0.833333;10;10;5;4;18;1;1;6;0.428571;0.833333;1;1;0.833333;5;0.833333;16420.33333;22;1;3;1;405671;10;0.571429;2.571429;6;2805.25;3;7;4;3440000;2;4.666667;0.571429;57953;1.5;18;2.571429;6;6;40173;0.428571;0;0;0;0;0;0.368421;4;0.571429;0;1;3440000;0.142857;1726138;0;0;0;16;0;1;3;4;0;1;0
0;0.290698;1;0;0;0;0;0;0;0;0;0;97;1;0;25;0;0;0;0;0;0;0;0;0;1;0;97;0;22;0;422610;97;0;22;1;0;0;22;0;0;22;12.5;0;211305;22;0;12.5;0;0;394060;0;422610;0;0;0;0;0;0;0;1;0;300000;0;300000;0;0.5;1.5;1204;0;0;0;0;0;0;0
0.692308;0.86758;0.615385;273008;2;0.714286;3832.142857;54729;173042;2;0.666667;190;19;2;94;190;1;1;107;0.461538;0.333333;0.5;0.5;0.666667;1;0.666667;45501.33333;987;0.5;57;1;638080;0;0.428571;0.2;3;3832.142857;6;50;9;20729;33;32;0.2;49083.07692;14.25;5;14.615385;50;3;132722;0.2;611255;0;6;0.043885;0.75;0.235294;1;1;0.230769;1;15000;0.230769;33552.25;2;0;0.076923;19;0.013699;0;0;0;0;0;0
0.571429;0.178042;0.885714;297372;7;0.888889;12306.59259;180229;116220;10;0.28;46;3;17;22;60;0.7;0.411765;120;0.428571;0.16;0.571429;0.4;0.4;4;0.68;19824.8;12;0.235294;30;0.588235;711009;3;0.518519;1.833333;25;9550.583333;15;9;20;51000;9;2.235294;0.333333;20314.54286;1.875;24;1.714286;8;8;50523;0.166667;378731;0;7;0.135598;0.875;0;2;0.222222;0.142857;0.448097;51000;0.028571;9728.25;1;0.085714;0.142857;12;0.002967;5;9;2;6;5;0
0.8;0.658784;0.933333;317028;4;7;57768.5;612450;165220;4;1;132;9;4;44;195;1;1;104;0.466667;1;1;1;1;4;1;45289.71429;20;1;77;1;2573144;9;0.5;18;4;0;7;56;12;357732;33;21.571429;0.4;171542.9333;12.833333;14;13;33;7;353534;0.2;2457607;0;8;0;0.666667;0.25;1;0;0.4;0;588000;0;191908.8333;1;0;0;272;0.003378;0;0;1;0;0;0
0.84;0.571031;0.8;42975624;7;2;8616.888889;590442;42415491;7;0.777778;205;17;8;146;205;1;0.875;287;0.76;0.777778;1;1;0.777778;7;0.888889;2261874.947;20;0.875;182;0.875;43138515;17;0.666667;10.333333;9;8301.125;19;49;21;202124;49;29.5;0.555556;1725540.6;13;18;8.2;49;5;153494;0.444444;43060963;0;12;0.000546;0.714286;0.25;2;0.666667;0.08;0.354154;202124;0.12;42812.35714;3;0;0;5;0.002786;0;0;0;0;0;0
0.4375;0.346835;0.6875;630368;2;0;2681.666667;150190;545400;2;1;124;21;2;71;137;1;1;149;0.25;1;1;1;1;2;1;157592;1107;1;119;1;1208389;21;0;2;2;2681.666667;4;43;7;95000;43;9.428571;0.166667;75524.3125;14.875;0;8.5625;43;0;190867;0.166667;1192299;0;5;0.013495;0.625;0.190476;0;1;0.375;1;95000;0.1875;77898.75;1;0.1875;0.4375;7;0;1;2;0;1;1;1
0.967742;0.705882;0.935484;817303;2;1.1;17327.9;581889;228848;2;0.181818;120;26;5;120;120;1;0.4;168;0.967742;0.090909;0.5;0.5;0.181818;1;0.454545;27243.43333;121;0.2;76;0.4;822303;235;0.9;0.5;11;19525;30;37;30;150000;37;0;0.5;26525.90323;25.333333;11;3.870968;37;2;228848;0.5;649024;5000;21;0.053033;1;0.5;1;0.2;0;0.440717;25000;0;98944;2;0;0;26;0.005882;0;0;0;0;0;0
0.837838;0.813375;0.972973;1580432;10;1.52;21313.28;1219100;445327;12;0.3125;400;3;19;171;523;0.833333;0.526316;222;0.72973;0.21875;0.7;0.583333;0.375;7;0.59375;29267.25926;3;0.368421;193;0.631579;3479255;14;0.8;21.363636;32;16666.77778;54;60;62;350000;35;22;0.727273;47016.95946;8.391304;38;7.067568;41;10;240679;0.363636;2946423;0;42;0.012819;0.869565;0.166667;3;0.12;0.162162;0.251798;430625;0.013514;43640.47826;0;0;0.027027;6;0.001555;3;4;1;2;3;0
0.375;0.28;0.25;0;1;2.5;11346;4000;0;1;0.5;5;54;2;2;7;1;0.5;4;0.25;0;0;0;0.5;0;1;0;54;0;5;0.5;22692;0;0.5;0;2;0;2;3;3;2000;3;0.833333;0;2836.5;2.5;5;0.875;3;3;14778;0;0;0;6;0;1;0.5;0;0;0.5;0;0;0;10364;0;0;0;237;0.08;0;0;0;2;0;0
0.857143;0.65625;0.857143;89699;1;3;30990;53915;60889;1;0.333333;42;11;1;23;42;1;1;26;0.285714;0.333333;1;1;0.333333;1;0.333333;44849.5;11;1;37;1;181951;0;0.5;0;3;0;2;12;6;33485;12;4.75;0;25993;6.166667;6;6;12;6;61980;0;119971;0;5;0;0.833333;1;0;0.5;0.428571;0;211562;0.142857;55700.66667;0;0;0.285714;11;0.09375;0;0;0;1;0;0
0.5;0.087591;0.5;0;0;0;0;0;0;0;0;12;2699;0;0;12;0;0;0;0;0;0;0;0;0;0;0;2699;0;12;0;101007;0;0;0;0;0;0;12;1;0;12;6;0;50503.5;12;0;6;12;0;101007;0;101007;0;1;0;1;0.875;0;0;1;0;0;0;70000;0;0;1;3430;0.087591;0;0;0;0;0;1
1;0.227273;0.75;0;0;1;0;100000;0;0;0;15;156;1;1;15;0;0;1;0.25;0;0;0;0;0;1;0;156;0;15;0;259525;0;1;1;1;0;1;7;4;100000;7;4.666667;1;64881.25;3.75;1;3.75;7;1;105979;1;259525;0;3;0;0.75;1;1;0;0.75;0;100000;0;73414.25;0;0;2;154;0.106061;0;0;0;0;0;0
0.5;0.384615;1;0;0;0;0;0;0;0;0;9;1375;0;0;15;0;0;0;0;0;0;0;0;0;0;0;1453;0;6;0;54655;0;0;0;0;0;0;9;1;0;6;7.5;0;27327.5;6;0;7.5;9;0;40357;0;54655;0;2;0;1;0;0;0;1;0;0;0;33960;0;0;0.5;1803;0.230769;0;0;0;0;0;0
0.904762;0.645833;1;919521;8;2.166667;27855.94444;841048;517007;10;0.421053;60;9;16;49;62;0.8;0.5;72;0.761905;0.263158;0.625;0.5;0.526316;5;0.842105;57470.0625;9;0.3125;34;0.625;1035168;9;0.888889;1.857143;19;18445.3;16;14;19;411000;14;2.6;0.857143;49293.71429;5.666667;39;2.952381;14;7;517007;0.571429;533761;2233;3;0.238384;0.666667;0.2;6;0.333333;0;0.689823;300000;0;144332.8333;0;0;0;27;0.010417;2;2;3;1;2;0
0.5;0.249097;0.681818;77596;3;0.125;5891.5;63635;23403;3;0.5;66;15;5;21;69;1;0.6;25;0.227273;0.5;1;1;0.5;3;0.833333;15519.2;205;0.6;31;0.6;629699;96;0.125;0;6;5891.5;5;15;11;20540;11;3.692308;0;28622.68182;6.2;1;3.136364;15;1;259881;0;582567;0;12;0.019225;1;0.185185;0;0.25;0.409091;0.23763;10000;0.090909;41006.6;0;0.090909;1;13;0.00361;4;14;2;1;4;1
0;0.02439;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;12460;0;1;1;2943;0;0;0;0;0;0;0
0.866667;0.668161;0.933333;150555;5;2;3915.5;201366;122516;5;0.714286;149;5;6;53;149;1;0.833333;60;0.4;0.571429;0.8;0.8;0.714286;4;0.857143;25092.5;5;0.666667;56;0.833333;898533;5;0.833333;2.2;7;957.75;6;40;13;100000;36;13.714286;0.8;59902.2;6.222222;12;9.933333;40;6;122516;0.6;875040;0;9;0.004378;0.666667;0.307692;4;0.666667;0.4;1;50000;0.133333;41210.55556;1;0;0.466667;5;0.004484;0;0;1;0;0;0
0.5;0.823529;0.833333;230505;3;0.333333;1703.333333;214808;138786;3;0.75;41;15;4;41;42;1;0.75;46;0.5;0.5;0.666667;0.666667;0.75;2;1;76835;29;0.5;27;0.75;235615;15;0;4.75;4;1703.333333;3;18;3;136961;18;0.5;0.25;39269.16667;6.75;1;7;18;0;138786;0.25;230505;0;2;0.022169;0.25;0.363636;0;1;0;1;136961;0;68552;1;0;0;39;0.27451;2;4;2;0;2;0
1;0.416667;1;53504;2;7.5;10695;64009;31936;2;1;45;18;2;36;45;1;1;95;0.8;1;1;1;1;2;1;13376;18;1;30;1;71208;18;1;7.5;2;0;4;15;5;30254;9;9;1;14241.6;7.5;15;9;15;9;31936;1;49818;0;3;0;0.5;1;2;0;0.2;0;20229;0;18840.75;1;0;0;205;0.083333;0;0;0;0;0;0
0;0.142857;0.5;0;0;0;0;0;0;0;0;0;446;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8210;446;0;3;0;0;0;3;0;0;0;3;0;4105;0;0;1.5;0;0;0;0;8210;0;1;0;0;0;0;0;0.5;0;15000;0;0;0;0.5;0.5;446;0;0;0;0;0;0;0
0.6;0.570637;0.95;52447;6;0.571429;5601.142857;55703;6768;6;0.666667;78;21;9;44;206;1;0.666667;62;0.5;0.333333;0.5;0.5;0.666667;3;1;5244.7;21;0.333333;84;0.666667;773933;22;0.571429;13.428571;9;5424.8;10;39;12;15000;24;18;0;38696.65;6.461538;4;10.3;18;1;127109;0;734725;0;9;0.027805;0.846154;0;0;0.571429;0.35;0.753171;100000;0.05;12125.07692;0;0.15;0.6;21;0.00277;2;3;4;0;2;0
1;0.925926;1;249409;2;6;97700;198201;135800;2;1;25;9;2;25;25;1;1;27;1;1;1;1;1;2;1;62352.25;626;1;13;1;249409;9;1;6;2;59600;4;8;4;90000;7;0;1;62352.25;6.5;12;6.25;8;8;37796;1;54009;59600;2;0;1;0;2;0;0;0;90000;0;24100.5;2;0;0;114;0.222222;0;0;0;0;0;0
1;0.875;1;0;0;0;0;0;0;0;0;49;1720;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91626;0;0;0;0;0;0;49;1;0;0;49;0;91626;0;0;49;49;0;0;0;91626;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;3099;0.875;0;0;0;0;0;1
1;1;1;35529;0;0;0;27888;24154;0;0;24;1362;0;24;24;0;0;24;1;0;0;0;0;0;0;17764.5;1362;0;24;0;35529;0;0;0;0;0;2;13;2;17792;13;0;0;17764.5;12;0;12;13;0;24154;0;35529;0;2;0;1;0.25;0;0;0;0;0;0;13944;0;0;0;1661;0.458333;0;0;0;0;0;1
0.45;0.168539;0.7;16857;3;0.2;4550.4;13535;12821;3;1;97;13;3;14;105;1;1;33;0.15;0.666667;0.666667;0.666667;1;2;1;5619;1066;0.666667;37;1;541045;790;0.2;1.142857;3;4550.4;3;43;9;10000;14;7;0;27052.25;4.625;1;5.25;43;1;84188;0;518293;0;7;0.043898;0.375;0.117647;0;1;0.65;1;66034;0.1;33940.125;1;0.15;0.4;13;0.001605;0;0;0;0;0;0
0.924242;0.480916;0.939394;626026;6;1.529412;4255.764706;901844;208790;6;0.352941;315;24;10;272;315;1;0.6;598;0.909091;0.176471;0.5;0.5;0.352941;3;0.588235;10433.76667;24;0.3;247;0.6;1112810;29;0.823529;14;17;3522.9;60;53;61;374000;43;43;0.5;16860.75758;4.116667;26;4.772727;53;11;479829;0.5;1040462;0;48;0.021615;0.966667;0;1;0.352941;0.015152;0.638395;5399;0.015152;15014.4;2;0;0;10;0.001527;0;0;0;0;0;0
1;0.108108;1;0;0;0;0;0;0;0;0;4;484;0;0;4;0;0;0;0;0;0;0;0;0;0;0;484;0;4;0;28535;0;0;0;0;0;0;4;1;0;4;4;0;28535;4;0;4;4;0;28535;0;28535;0;1;0;1;1;0;0;1;0;0;0;25420;0;0;1;1567;0.108108;0;0;0;0;0;0
0.333333;0.2;0.666667;0;0;0;0;0;0;0;0;14;412;0;0;16;0;0;0;0;0;0;0;0;0;0;0;412;0;16;0;222500;0;0;0;0;0;0;14;1;0;14;8;0;74166.66667;8;0;5.333333;14;0;220300;0;222500;0;3;0;1;0;0;0;0.666667;0;0;0;77666.5;0;0;0.333333;1458;0.025;0;0;0;0;0;0
0.628571;0.778947;0.6;1265818;14;1.285714;23515.92857;1121622;287650;16;0.823529;144;8;17;112;148;0.875;0.823529;135;0.571429;0.705882;0.857143;0.75;0.941176;12;1;63290.9;12;0.705882;37;0.941176;2168461;8;0.535714;2.653846;17;14221.37037;20;40;22;185000;15;12;0.5;61956.02857;4.625;36;4.228571;40;10;186048;0.423077;1510015;0;4;0.101869;0.375;0.166667;10;0.821429;0.057143;0.400607;1979000;0.142857;117258.5;6;0;0;1;0.005263;1;6;1;0;1;0
0.875;0.454545;1;81188;0;0;0;58562;33059;0;0;50;818;0;32;50;0;0;33;0.375;0;0;0;0;0;0;27062.66667;818;0;33;0;173533;0;0;0;0;0;3;17;7;29123;10;4.5;0;21691.625;4.714286;0;6.25;17;0;66926;0;173533;0;8;0;1;0;0;0;0.5;0;0;0;16821.42857;1;0;0.625;1118;0.036364;0;0;0;0;0;0
0.571429;0.108696;0.5;29876;5;0.692308;3686.307692;44500;18368;6;0.833333;9;23;6;9;10;0.833333;0.833333;14;0.571429;0.333333;0.4;0.333333;1;2;1;3734.5;801;0.333333;1;1;54552;801;0.615385;0.625;6;3686.307692;8;2;8;14000;1;1;0.5;3896.571429;1;9;0.714286;2;2;6630;0.5;6630;0;0;7.228054;0;0;4;0.846154;0.071429;1;19000;0.071429;6682;0;0;0.142857;19;0.021739;0;0;0;0;0;1
0.888889;0.586957;1;82427;0;0;0;70952;49258;0;0;80;721;0;14;81;0;0;15;0.333333;0;0;0;0;0;0;27475.66667;1362;0;42;0;395041;1362;0;1;0;0;3;39;8;43000;16;11.166667;0;43893.44444;5.25;0;9;39;0;151384;0;395041;0;8;0;0.875;0;0;0;0.666667;0;1000;0;34944.75;0;0.111111;0.333333;1683;0.028986;0;0;0;0;0;0
0.727273;0.469565;0.863636;221600;0;0.833333;11976.38889;179800;31865;3;0;17;70;10;16;54;0;0;23;0.681818;0;0;0;0.176471;0;0.588235;14773.33333;70;0;41;0.3;374299;86;0.777778;9.25;17;11396.3;15;23;16;24000;23;7.6;0;17013.59091;8.2;15;2.454545;2;2;91289;0;158724;0;2;0.164575;0.4;0;0;0.166667;0.090909;0.229215;77951;0;35624.8;0;0;0.454545;22;0.017391;2;3;0;2;2;0
1;0.818182;1;9086;0;0;0;8000;9086;0;0;9;344;0;9;9;0;0;11;1;0;0;0;0;0;0;9086;344;0;9;0;9086;0;0;0;1;0;1;9;1;8000;9;0;0;9086;9;0;9;9;0;9086;0;9086;0;1;0;1;0;0;0;0;0;0;0;8000;0;0;0;650;0.818182;0;0;0;0;0;0
0.5;0.037037;1;0;0;0;0;0;0;0;0;3;628;0;0;4;0;0;0;0;0;0;0;0;0;0;0;628;0;4;0;25806;2052;0;1;0;0;0;3;1;0;3;2;0;12903;2;0;2;3;0;24806;0;25806;0;1;0;0.5;0;0;0;1;0;26808;0;20130.5;0;0.5;1.5;2119;0.027778;0;0;0;0;0;0
0.6;0.461538;0.7;18240;0;0.25;2625.5;14000;6700;0;0;6;280;0;6;6;0;0;8;0.6;0;0;0;0;0;0;3040;0;0;0;0;22042;0;0.25;0;3;0;6;1;6;5000;0;0;0;2204.2;0;1;0.6;1;1;0;0;11540;0;5;0;0;1;0;0.25;0;0;5000;0.1;0;0;0;0;17;0;0;0;1;1;0;0
0.923077;0.880829;0.923077;304368;7;3;9266.428571;221300;208869;7;0.7;170;6;9;60;170;1;0.777778;63;0.692308;0.5;0.714286;0.714286;0.7;5;0.9;33818.66667;27;0.555556;107;0.777778;662126;6;1;17.142857;10;8493.4;9;54;12;150000;54;36.666667;1;50932.76923;26.75;21;13.076923;54;7;208869;0.571429;597261;3430;3;0.054929;0.5;0.166667;4;0.571429;0.230769;0.772529;174390;0;112097.5;0;0;0;35;0.010363;0;0;0;0;0;0
0.391304;0.074419;0.608696;49637;3;0.714286;5256.952381;52600;13473;4;0.25;13;8;12;8;16;0.75;0.25;12;0.347826;0.083333;0.333333;0.25;0.333333;1;1;6204.625;0;0.083333;0;0.333333;1056297;8;0.428571;0.25;12;3425.789474;8;5;9;20600;0;0.615385;0.083333;45925.95652;0;15;0.695652;5;5;0;0.083333;945901;0;1;0.007866;0;0.043478;1;0.238095;0.086957;0.114303;139200;0;4999;0;0.043478;0.304348;25;0.004651;12;38;9;1;12;1
0.957143;0.840909;0.971429;2784662;11;1.472222;21251;2660052;225740;14;0.282051;257;10;17;204;296;0.785714;0.647059;244;0.885714;0.230769;0.818182;0.642857;0.358974;9;0.435897;44913.90323;14;0.529412;145;0.823529;4290585;10;0.944444;12.6;39;18274.18182;62;39;67;469122;20;15.333333;0.7;61294.07143;2.589286;53;4.228571;36;8;225740;0.3;3525549;0;30;0.027121;0.946429;0.181818;4;0.222222;0.057143;0.475664;1885000;0.028571;41198.92857;5;0;0;7;0.002841;0;0;3;0;0;0
1;0.016393;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;61;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0.875;0;0;0;0;0;0;0;1;0;0;2721;0.016393;0;0;0;0;0;1
0.2;0.027027;0.8;100;3;0.25;2552.25;30000;100;3;1;1;23;3;1;1;1;1;4;0.2;0.666667;0.666667;0.666667;1;2;1;100;3438;0.666667;0;1;10888;23;0.25;0.5;3;2552.25;1;1;1;30000;0;0;0.5;2177.6;0;1;0.2;1;1;679;0.5;679;0;1;14.888071;1;0.076923;1;0.75;0.2;0.990205;30000;0.2;3459;1;0.2;0.2;8;0;0;0;0;0;0;1
0.888889;0.480663;0.888889;115029;0;0;0;140844;93981;0;0;65;525;0;31;87;0;0;73;0.555556;0;0;0;0;0;0;23005.8;535;0;55;0;483062;525;0;15.5;0;0;5;22;8;110000;18;14;0.5;53673.55556;7.857143;0;9.666667;18;0;323608;0;483062;0;7;0;0.857143;0;0;0;0.444444;0;50000;0;67536.28571;1;0.111111;0.555556;805;0.044199;0;0;0;0;0;1
0.285714;0.104167;0.714286;0;0;0;0;0;0;0;0;9;1150;0;0;20;0;0;0;0;0;0;0;0;0;0;0;3930;0;5;0;107249;1150;0;2.666667;0;0;0;6;2;0;3;2.857143;0;15321.28571;2.5;0;2.857143;6;0;5693;0;107249;0;2;0;0.5;0.888889;0;0;1;0;178784;0;16992.5;0;0.142857;1;1941;0.015625;0;0;0;0;0;1
